Date,Bean_Kandy_price
9/28/2020,195.0
9/29/2020,195.0
9/30/2020,190.0
10/3/2020,75.0
10/7/2020,95.0
10/8/2020,155.0
10/9/2020,190.0
10/11/2020,125.0
10/13/2020,145.0
10/14/2020,115.0
10/15/2020,110.0
10/16/2020,110.0
10/19/2020,155.0
10/20/2020,155.0
10/21/2020,175.0
10/22/2020,145.0
10/23/2020,115.0
10/26/2020,125.0
10/27/2020,115.0
10/28/2020,125.0
10/29/2020,145.0
11/3/2020,65.0
11/8/2020,175.0
11/9/2020,195.0
11/11/2020,125.0
11/12/2020,190.0
11/13/2020,145.0
11/16/2020,190.0
11/17/2020,210.0
11/18/2020,185.0
11/19/2020,165.0
11/20/2020,165.0
11/23/2020,195.0
11/24/2020,210.0
11/25/2020,210.0
11/26/2020,190.0
11/27/2020,205.0
11/30/2020,230.0
12/3/2020,75.0
12/8/2020,225.0
12/10/2020,155.0
12/11/2020,135.0
12/14/2020,155.0
12/15/2020,175.0
12/16/2020,155.0
12/17/2020,145.0
12/18/2020,135.0
12/21/2020,145.0
12/22/2020,155.0
12/23/2020,145.0
12/24/2020,135.0
12/28/2020,185.0
12/30/2020,155.0
12/31/2020,175.0
1/1/2021,155.0
1/2/2021,125.0
1/3/2021,115.0
1/4/2021,145.0
1/7/2021,135.0
1/9/2021,190.0
1/10/2021,170.0
1/11/2021,170.0
1/13/2021,115.0
1/15/2021,125.0
1/18/2021,165.0
1/19/2021,195.0
1/20/2021,215.0
1/21/2021,225.0
1/22/2021,215.0
1/25/2021,190.0
1/26/2021,225.0
1/27/2021,210.0
1/29/2021,205.0
2/2/2021,135.0
2/3/2021,115.0
2/7/2021,125.0
2/8/2021,215.0
2/9/2021,145.0
2/11/2021,170.0
2/12/2021,230.0
2/15/2021,155.0
2/16/2021,135.0
2/17/2021,135.0
2/18/2021,135.0
2/19/2021,135.0
2/22/2021,135.0
2/23/2021,125.0
2/24/2021,110.0
2/25/2021,115.0
3/2/2021,115.0
3/3/2021,125.0
3/5/2021,110.0
3/8/2021,215.0
3/11/2021,175.0
3/12/2021,255.0
3/15/2021,190.0
3/16/2021,175.0
3/17/2021,190.0
3/18/2021,175.0
3/19/2021,175.0
3/22/2021,175.0
3/23/2021,155.0
3/24/2021,165.0
3/25/2021,155.0
3/26/2021,155.0
3/29/2021,175.0
3/30/2021,175.0
3/31/2021,155.0
4/1/2021,95.0
4/3/2021,125.0
4/5/2021,95.0
4/8/2021,225.0
4/10/2021,210.0
4/19/2021,65.0
4/20/2021,55.0
4/21/2021,65.0
4/22/2021,85.0
4/23/2021,115.0
4/27/2021,95.0
4/28/2021,115.0
4/29/2021,95.0
4/30/2021,125.0
5/1/2021,85.0
5/2/2021,125.0
5/3/2021,135.0
5/4/2021,165.0
5/5/2021,85.0
5/7/2021,145.0
5/8/2021,190.0
5/10/2021,210.0
5/11/2021,210.0
5/13/2021,135.0
5/17/2021,125.0
5/18/2021,125.0
5/19/2021,125.0
5/20/2021,210.0
5/21/2021,210.0
6/1/2021,85.0
6/4/2021,105.0
6/5/2021,85.0
6/7/2021,125.0
6/8/2021,210.0
6/9/2021,130.0
6/10/2021,210.0
6/12/2021,290.0
6/18/2021,190.0
6/21/2021,275.0
6/22/2021,260.0
6/23/2021,230.0
6/25/2021,185.0
6/28/2021,165.0
6/29/2021,165.0
6/30/2021,145.0
7/1/2021,85.0
7/4/2021,95.0
7/5/2021,75.0
7/7/2021,125.0
7/10/2021,225.0
7/12/2021,290.0
7/13/2021,205.0
7/14/2021,205.0
7/15/2021,200.0
7/16/2021,200.0
7/19/2021,210.0
7/20/2021,235.0
7/22/2021,265.0
7/26/2021,245.0
7/27/2021,215.0
7/28/2021,235.0
7/29/2021,225.0
7/30/2021,210.0
8/1/2021,115.0
8/2/2021,145.0
8/3/2021,135.0
8/4/2021,85.0
8/6/2021,130.0
8/7/2021,135.0
8/10/2021,245.0
8/11/2021,230.0
8/12/2021,290.0
8/13/2021,210.0
8/16/2021,195.0
8/17/2021,220.0
8/18/2021,185.0
8/19/2021,190.0
8/20/2021,190.0
8/24/2021,155.0
