Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
310.0,410.0,425.0,291.21
315.0,295.0,312.5,290.97
235.0,180.0,200.0,293.21
340.0,180.0,200.0,293.21
260.0,180.0,150.0,294.22
265.0,240.0,225.0,295.23
375.0,300.0,240.0,296.24
475.0,300.0,240.0,296.24
360.0,330.0,300.0,300.43
360.0,315.0,280.0,303.21
375.0,300.0,275.0,308.48
340.0,310.0,295.0,313.82
390.0,290.0,315.0,309.2
390.0,290.0,300.0,305.92
415.0,290.0,300.0,306.12
385.0,340.0,335.0,306.91
390.0,340.0,380.0,306.95
415.0,365.0,350.0,307.0
425.0,360.0,390.0,308.12
465.0,390.0,410.0,308.83
360.0,400.0,340.0,308.59
315.0,166.67,163.33,308.12
290.0,228.33,231.67,306.26
325.0,290.0,300.0,306.99
340.0,410.0,415.0,308.2
335.0,400.0,420.0,309.3
240.0,190.0,215.0,310.4
410.0,215.0,220.0,311.51
300.0,240.0,225.0,312.79
410.0,240.0,225.0,312.79
390.0,310.0,260.0,313.9
525.0,310.0,260.0,313.9
340.0,310.0,315.0,314.59
325.0,310.0,365.0,316.36
325.0,410.0,375.0,319.12
325.0,400.0,385.0,322.81
285.0,395.0,410.0,322.53
285.0,410.0,420.0,324.25
275.0,390.0,415.0,325.22
365.0,430.0,425.0,326.75
365.0,455.0,425.0,329.0
325.0,435.0,425.0,329.42
335.0,430.0,405.0,329.38
335.0,435.0,375.0,329.28
290.0,390.0,425.0,321.5
265.0,190.0,215.0,321.08
375.0,240.0,215.0,320.0
525.0,310.0,305.0,319.99
355.0,370.0,375.0,319.98
335.0,370.0,390.0,320.94
335.0,370.0,400.0,321.18
330.0,365.0,375.0,321.09
335.0,335.0,325.0,321.86
315.0,290.0,300.0,323.25
310.0,290.0,285.0,323.94
335.0,315.0,350.0,323.94
315.0,310.0,325.0,323.97
310.0,290.0,285.0,324.05
290.0,275.0,260.0,323.87
265.0,255.0,215.0,323.91
230.0,270.0,250.0,322.66
310.0,410.0,425.0,322.39
315.0,160.0,145.0,321.9
