Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
157.5,122.5,112.5,201.74
154.375,125.62,115.62,202.62
151.25,128.75,118.75,210.0
148.125,131.88,121.88,210.0
145.0,135.0,125.0,210.0
125.0,135.0,100.0,207.35
85.0,125.0,115.0,207.35
125.0,140.0,130.0,207.35
165.0,155.0,145.0,207.35
135.0,105.0,120.0,207.35
190.0,105.0,110.0,199.95
145.0,95.0,80.0,199.98
190.0,145.0,132.5,200.0
235.0,195.0,185.0,200.0
315.0,275.0,285.0,200.0
135.0,105.0,70.0,200.0
115.0,95.0,70.0,200.0
125.0,85.0,65.0,200.0
95.0,85.0,80.0,200.01
95.0,85.0,70.0,200.0
102.5,85.0,71.25,199.98
110.0,85.0,72.5,199.97
117.5,85.0,73.75,199.95
125.0,85.0,75.0,199.93
110.0,85.0,80.0,199.63
115.0,85.0,77.5,199.9
110.0,85.0,75.0,200.26
115.0,81.67,75.83,200.17
120.0,78.33,76.67,200.09
125.0,75.0,77.5,200.0
125.0,105.0,77.5,200.03
155.0,115.0,100.0,199.99
155.0,115.0,105.0,199.99
155.0,135.0,130.0,200.7
155.0,155.0,155.0,200.51
115.0,135.0,120.0,200.33
105.0,115.0,120.0,200.14
95.0,95.0,120.0,200.0
106.25,95.0,110.0,200.06
117.5,95.0,100.0,200.04
128.75,95.0,90.0,202.98
140.0,95.0,80.0,202.79
192.5,132.5,127.5,202.59
245.0,170.0,175.0,202.4
310.0,275.0,255.0,202.4
195.0,105.0,85.0,200.0
155.0,100.0,95.0,200.0
170.0,95.0,97.5,201.25
193.3333333,100.0,101.67,200.86
216.6666667,105.0,105.83,200.48
240.0,110.0,110.0,200.09
233.3333333,110.0,116.67,200.23
226.6666667,110.0,123.33,200.37
220.0,110.0,130.0,200.51
210.0,110.0,125.0,201.05
193.3333333,111.67,121.67,201.36
176.6666667,113.33,118.33,201.67
160.0,115.0,115.0,201.98
160.0,115.0,125.0,203.0
190.0,125.0,135.0,202.21
190.0,145.0,165.0,200.03
176.25,145.0,160.0,201.87
162.5,135.0,141.67,201.9
148.75,125.0,123.33,201.92
135.0,115.0,105.0,201.95
155.0,155.0,135.0,202.5
138.3333333,135.0,125.0,202.56
121.6666667,115.0,115.0,202.59
105.0,95.0,105.0,202.62
133.3333333,98.33,106.67,201.85
161.6666667,101.67,108.33,201.08
190.0,105.0,110.0,200.31
232.5,95.0,102.5,202.05
275.0,85.0,95.0,202.38
290.0,235.0,235.0,201.41
315.0,226.25,238.75,202.35
340.0,217.5,242.5,202.25
365.0,208.75,246.25,202.15
390.0,200.0,250.0,202.05
395.0,235.0,270.0,202.05
345.0,270.0,280.0,201.34
327.5,272.5,275.0,201.77
310.0,275.0,270.0,202.19
323.3333333,286.67,285.0,202.19
336.6666667,298.33,300.0,202.2
350.0,310.0,315.0,202.2
290.0,305.0,265.0,202.42
240.0,255.0,230.0,200.78
240.0,310.0,335.0,200.97
210.0,290.0,245.0,201.21
210.0,288.33,243.33,201.39
210.0,286.67,241.67,201.58
210.0,285.0,240.0,201.76
230.0,285.0,245.0,202.05
135.0,215.0,200.0,202.05
