Date,rain_sum
4/15/2012,20.8
4/16/2012,24
4/17/2012,11.1
4/18/2012,3.6
4/19/2012,2.7
4/20/2012,0.4
4/21/2012,0
4/22/2012,5.1
4/23/2012,6.1
4/24/2012,14.2
4/25/2012,2.7
4/26/2012,1.4
4/27/2012,0.3
4/28/2012,0
4/29/2012,1.3
4/30/2012,1.1
5/1/2012,0
5/2/2012,0
5/3/2012,0
5/4/2012,0
5/5/2012,0
5/6/2012,0.5
5/7/2012,1.4
5/8/2012,1.3
5/9/2012,2.2
5/10/2012,0
5/11/2012,0.8
5/12/2012,0.1
5/13/2012,0.9
5/14/2012,0.7
5/15/2012,0.1
5/16/2012,0
5/17/2012,0
5/18/2012,0.6
5/19/2012,2.4
5/20/2012,2.2
5/21/2012,2.5
5/22/2012,1.3
5/23/2012,1.6
5/24/2012,0.7
5/25/2012,1.2
5/26/2012,0.4
5/27/2012,1
5/28/2012,0.5
5/29/2012,0.4
5/30/2012,0
5/31/2012,0.2
6/1/2012,1.7
6/2/2012,0.5
6/3/2012,5.8
6/4/2012,2.1
6/5/2012,2.3
6/6/2012,3.6
6/7/2012,5.1
6/8/2012,3.4
6/9/2012,2.7
6/10/2012,1.1
6/11/2012,0.8
6/12/2012,0
6/13/2012,1.7
6/14/2012,3.8
6/15/2012,2.1
6/16/2012,2.3
6/17/2012,2.3
6/18/2012,4.4
6/19/2012,2.5
6/20/2012,2.1
6/21/2012,1.4
6/22/2012,1.5
6/23/2012,2.7
6/24/2012,0.6
6/25/2012,0.5
6/26/2012,0.5
6/27/2012,1.4
6/28/2012,4.1
6/29/2012,3.3
6/30/2012,2.6
7/1/2012,4.4
7/2/2012,12.2
7/3/2012,4.3
7/4/2012,2.7
7/5/2012,1.3
7/6/2012,2.6
7/7/2012,2.3
7/8/2012,3
7/9/2012,16.1
7/10/2012,4.5
7/11/2012,0.5
7/12/2012,1.1
7/13/2012,1.5
7/14/2012,1.9
7/15/2012,0.7
7/16/2012,1.6
7/17/2012,0
7/18/2012,0.3
7/19/2012,0
7/20/2012,1.7
7/21/2012,4.5
7/22/2012,3.7
7/23/2012,3.7
7/24/2012,2.3
7/25/2012,3
7/26/2012,2.9
7/27/2012,1.6
7/28/2012,1.6
7/29/2012,1.1
7/30/2012,0.5
7/31/2012,0.4
8/1/2012,0.1
8/2/2012,0
8/3/2012,0.4
8/4/2012,1.3
8/5/2012,1.6
8/6/2012,2.2
8/7/2012,0.1
8/8/2012,1
8/9/2012,0.2
8/10/2012,2.4
8/11/2012,5.7
8/12/2012,1.2
8/13/2012,1.2
8/14/2012,1.7
8/15/2012,2.3
8/16/2012,3
8/17/2012,9.9
8/18/2012,9.6
8/19/2012,3.3
8/20/2012,0.1
8/21/2012,0
8/22/2012,0
8/23/2012,1
8/24/2012,3.3
8/25/2012,6
8/26/2012,3.7
8/27/2012,4.3
8/28/2012,2.9
8/29/2012,6.4
8/30/2012,4
8/31/2012,0.7
9/1/2012,1
9/2/2012,2.9
9/3/2012,2.9
9/4/2012,4.8
9/5/2012,0
9/6/2012,1.2
9/7/2012,5
9/8/2012,4.6
9/9/2012,6.4
9/10/2012,5.4
9/11/2012,1.5
9/12/2012,1
9/13/2012,0.7
9/14/2012,1.8
9/15/2012,1.2
9/16/2012,2.7
9/17/2012,0.9
9/18/2012,0.4
9/19/2012,0.4
9/20/2012,4.2
9/21/2012,1.5
9/22/2012,6.4
9/23/2012,0.8
9/24/2012,2.4
9/25/2012,1.9
9/26/2012,0.1
9/27/2012,1
9/28/2012,3.7
9/29/2012,0.7
9/30/2012,0.5
10/1/2012,0.2
10/2/2012,0
10/3/2012,0.2
10/4/2012,0
10/5/2012,0
10/6/2012,1.1
10/7/2012,2.8
10/8/2012,1.8
10/9/2012,3.2
10/10/2012,5.2
10/11/2012,6.3
10/12/2012,41.6
10/13/2012,31.3
10/14/2012,35.1
10/15/2012,25.7
10/16/2012,15.8
10/17/2012,9.6
10/18/2012,21.3
10/19/2012,21.7
10/20/2012,87.3
10/21/2012,30.7
10/22/2012,54.8
10/23/2012,34.3
10/24/2012,39.8
10/25/2012,8.1
10/26/2012,2.3
10/27/2012,55.4
10/28/2012,27.9
10/29/2012,79.4
10/30/2012,14
10/31/2012,13.6
11/1/2012,11.3
11/2/2012,2
11/3/2012,1.9
11/4/2012,1.2
11/5/2012,9.2
11/6/2012,8
11/7/2012,41.9
11/8/2012,35
11/9/2012,12.5
11/10/2012,13.1
11/11/2012,9.6
11/12/2012,6.1
11/13/2012,5.7
11/14/2012,5.3
11/15/2012,61.9
11/16/2012,6.6
11/17/2012,0
11/18/2012,0
11/19/2012,0
11/20/2012,0
11/21/2012,0
11/22/2012,0.8
11/23/2012,3.7
11/24/2012,80.7
11/25/2012,14.3
11/26/2012,24.6
11/27/2012,115.4
11/28/2012,15.8
11/29/2012,0
11/30/2012,0
12/1/2012,0
12/2/2012,0
12/3/2012,0.4
12/4/2012,15.1
12/5/2012,3.9
12/6/2012,2.1
12/7/2012,0
12/8/2012,5
12/9/2012,0
12/10/2012,0
12/11/2012,0
12/12/2012,0.2
12/13/2012,0
12/14/2012,0
12/15/2012,3.4
12/16/2012,24.4
12/17/2012,19.1
12/18/2012,15.9
12/19/2012,2.7
12/20/2012,0.4
12/21/2012,2.6
12/22/2012,37.5
12/23/2012,5.1
12/24/2012,5.8
12/25/2012,18.8
12/26/2012,8.6
12/27/2012,13.2
12/28/2012,23.4
12/29/2012,0.2
12/30/2012,5.3
12/31/2012,1
1/1/2013,1
1/2/2013,0
1/3/2013,29.3
1/4/2013,13.7
1/5/2013,1.1
1/6/2013,7.6
1/7/2013,158.6
1/8/2013,0.8
1/9/2013,8.2
1/10/2013,11.5
1/11/2013,0.5
1/12/2013,0
1/13/2013,0
1/14/2013,0
1/15/2013,0
1/16/2013,0
1/17/2013,0
1/18/2013,0
1/19/2013,0
1/20/2013,0
1/21/2013,0
1/22/2013,0
1/23/2013,12.6
1/24/2013,10.7
1/25/2013,9.6
1/26/2013,0.1
1/27/2013,0
1/28/2013,0
1/29/2013,0
1/30/2013,0
1/31/2013,0
2/1/2013,0
2/2/2013,0
2/3/2013,0.1
2/4/2013,6
2/5/2013,0.8
2/6/2013,2.9
2/7/2013,1.3
2/8/2013,0
2/9/2013,1
2/10/2013,0.2
2/11/2013,11.7
2/12/2013,16.9
2/13/2013,14.8
2/14/2013,73.3
2/15/2013,7.3
2/16/2013,8.1
2/17/2013,2.5
2/18/2013,2.4
2/19/2013,4.8
2/20/2013,0
2/21/2013,0
2/22/2013,0
2/23/2013,0
2/24/2013,0
2/25/2013,0
2/26/2013,0
2/27/2013,0
2/28/2013,0
3/1/2013,0
3/2/2013,0
3/3/2013,2.2
3/4/2013,29.7
3/5/2013,8.6
3/6/2013,21.9
3/7/2013,1.2
3/8/2013,16.4
3/9/2013,26.1
3/10/2013,0
3/11/2013,0.2
3/12/2013,3.9
3/13/2013,1.5
3/14/2013,7.4
3/15/2013,38.1
3/16/2013,10.4
3/17/2013,3
3/18/2013,0
3/19/2013,0.1
3/20/2013,0
3/21/2013,0.1
3/22/2013,0
3/23/2013,2.2
