Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-07-24,Leeks,30.00--45.00,40.00--50.00,40.00--60.00,60.00--60.00,,55.00--65.00,40.00-43.00,40.00-50.00,,
2020-07-27,Leeks,50.00--450.00,40.00--50.00,40.00--55.00,55.00--65.00,,50.00--60.00,40.00-45.00,40.00-50.00,,
2020-07-28,Leeks,40.00--60.00,40.00--50.00,40.00--60.00,55.00--65.00,,50.00--60.00,40.00-45.00,45.00-55.00,,
2020-07-29,Leeks,40.00--50.00,40.00--50.00,45.00--55.00,60.00--70.00,,45.00--55.00,40.00-43.00,45.00-55.00,,
2020-07-30,Leeks,40.00--60.00,50.00--60.00,40.00--55.00,60.00--70.00,,45.00--55.00,40.00-43.00,45.00-55.00,,
2020-07-31,Leeks,50.00--60.00,50.00--60.00,45.00--55.00,60.00--70.00,,45.00--55.00,40.00-45.00,45.00-55.00,,
2020-08-01,Leeks,230.00--250.00,280.00--300.00,260.00--300.00,250.00--290.00,,270.00--290.00,,235.00-240.00,,
2020-08-07,Leeks,50.00--60.00,70.00--80.00,40.00--60.00,80.00--90.00,,75.00--90.00,60.00-65.00,60.00-70.00,,
2020-08-09,Leeks,40.00--50.00,50.00--60.00,40.00--55.00,55.00--65.00,,50.00--60.00,,40.00-45.00,,
2020-08-10,Leeks,40.00--50.00,50.00--60.00,50.00--60.00,55.00--65.00,,50.00--60.00,,40.00-45.00,,
2020-08-12,Leeks,,40.00--50.00,30.00--40.00,60.00--70.00,,60.00--65.00,45.00-48.00,45.00-55.00,,
2020-08-13,Leeks,40.00--50.00,40.00--50.00,40.00--60.00,60.00--70.00,,50.00--60.00,43.00-45.00,45.00-55.00,,
2020-08-14,Leeks,40.00--60.00,50.00--60.00,50.00--60.00,60.00--70.00,,50.00--60.00,43.00-45.00,45.00-55.00,,
2020-08-17,Leeks,40.00-60.00,50.00-60.00,45.00-60.00,60.00-70.00,,50.00-60.00,40.00-45.00,45.00-55.00,,
2020-08-18,Leeks,50.00--60.00,50.00--60.00,40.00--55.00,60.00--70.00,,50.00--60.00,43.00-45.00,45.00-55.00,,
2020-08-19,Leeks,40.00--50.00,40.00--50.00,40.00--55.00,60.00--70.00,,50.00--60.00,45.00-48.00,45.00-55.00,,
2020-08-20,Leeks,40.00--60.00,40.00--50.00,40.00--55.00,60.00--70.00,,50.00--60.00,40.00-43.00,45.00-55.00,,
2020-08-21,Leeks,40.00--50.00,50.00--60.00,45.00--55.00,60.00--70.00,,50.00--60.00,40.00-45.00,45.00-55.00,,
2020-08-24,Leeks,40.00--60.00,50.00--60.00,60.00--65.00,60.00--70.00,,55.00--65.00,45.00-45.00,45.00-55.00,,
2020-08-25,Leeks,40.00--60.00,50.00--60.00,45.00--60.00,60.00--70.00,,50.00--60.00,43.00-45.00,50.00-60.00,,
2020-08-26,Leeks,50.00--60.00,50.00--60.00,50.00--60.00,60.00--70.00,,55.00--65.00,40.00-45.00,50.00-60.00,,
2020-08-27,Leeks,40.00--50.00,50.00--60.00,50.00--60.00,60.00--70.00,,55.00--65.00,40.00-45.00,50.00-60.00,,
2020-08-28,Leeks,40.00--60.00,50.00--60.00,50.00--60.00,60.00--70.00,,50.00--60.00,43.00-45.00,50.00-55.00,,
2020-09-01,Leeks,240.00--260.00,270.00--280.00,260.00-300.00,280.00-290.00,,280.00-300.00,,235.00--240.00,,
2020-09-07,Leeks,40.00--60.00,60.00--70.00,50.00--70.00,80.00--90.00,,65.00--80.00,60.00-65.00,50.00-60.00,,
2020-09-09,Leeks,40.00--50.00,45.00--55.00,45.00--60.00,55.00--65.00,,50.00--60.00,,40.00-45.00,,
2020-09-10,Leeks,30.00--40.00,40.00--45.00,40.00--50.00,55.00--60.00,,50.00--60.00,,40.00-45.00,,
2020-09-11,Leeks,,30.00--40.00,25.00--35.00,,,35.00--45.00,35.00-40.00,30.00-40.00,,
2020-09-12,Leeks,,,30.00--40.00,60.00--70.00,,55.00--60.00,40.00-45.00,40.00-50.00,,
2020-09-14,Leeks,40.00--50.00,50.00--60.00,45.00--60.00,55.00--60.00,,45.00--55.00,,35.00-45.00,,
2020-09-15,Leeks,30.00--50.00,50.00--60.00,45.00--60.00,55.00--60.00,,50.00--60.00,,35.00-45.00,,
2020-09-16,Leeks,30.00--50.00,45.00--50.00,45.00--60.00,55.00--60.00,,50.00--60.00,,35.00-45.00,,
2020-09-17,Leeks,35.00--55.00,40.00--50.00,50.00--60.00,55.00--65.00,,45.00--55.00,,35.00-45.00,,
2020-09-18,Leeks,35.00--50.00,40.00--50.00,35.00--50.00,55.00--65.00,,45.00--55.00,,40.00-45.00,,
2020-09-21,Leeks,50.00--70.00,50.00--60.00,45.00--60.00,55.00--70.00,,40.00--50.00,,45.00-50.00,,
2020-09-22,Leeks,50.00--70.00,60.00--70.00,50.00--60.00,65.00--80.00,,50.00--60.00,,55.00-60.00,,
2020-09-23,Leeks,40.00--60.00,45.00--50.00,40.00--55.00,65.00--80.00,,50.00--60.00,,55.00-60.00,,
2020-09-24,Leeks,40.00--50.00,40.00--45.00,35.00--55.00,60.00--70.00,,55.00--65.00,,55.00-60.00,,
2020-09-25,Leeks,40.00--60.00,40.00--50.00,50.00--65.00,60.00--65.00,,55.00--65.00,,55.00-60.00,,
2020-09-28,Leeks,50.00--70.00,50.00--60.00,50.00--60.00,60.00--70.00,,60.00--70.00,,55.00-60.00,,
2020-09-29,Leeks,50.00--60.00,50.00--60.00,50.00--60.00,60.00--70.00,,60.00--70.00,,50.00-55.00,,
2020-09-30,Leeks,50.00--60.00,60.00--70.00,45.00--60.00,60.00--70.00,,55.00--65.00,,50.00-55.00,,
2020-10-03,Leeks,110.00--130.00,130.00--140.00,120.00-140.00,,,130.00-140.00,100.00-105.00,105.00--115.00,,
2020-10-07,Leeks,40.00--60.00,50.00--60.00,50.00--65.00,70.00--80.00,,80.00--90.00,55.00-65.00,50.00-60.00,,
2020-10-08,Leeks,50.00--60.00,30.00--40.00,35.00--50.00,60.00--80.00,,55.00--65.00,45.00-50.00,40.00-45.00,,
2020-10-09,Leeks,40.00--60.00,45.00--50.00,50.00--60.00,50.00--60.00,,50.00--60.00,,35.00-40.00,,
2020-10-11,Leeks,,40.00--50.00,40.00--50.00,,,45.00--55.00,50.00-55.00,30.00-40.00,,
2020-10-13,Leeks,35.00--50.00,45.00--50.00,40.00--55.00,55.00--65.00,,50.00--60.00,,40.00-45.00,,
