Date,Kandy_Beans,Dambulla_Beans,Exchange Rate_Beans,Kandy_Carrot,Dambulla_Carrot,Exchange Rate_Carrot,Kandy_Leaks,Dambulla_Leaks,Buy Rate_Leaks
2023-08-16,335.0,375.0,321.18,370.0,400.0,321.18,105.0,105.0,314.45
2023-08-17,330.0,325.0,321.09,365.0,375.0,321.09,105.0,95.0,314.78
2023-08-18,335.0,365.0,321.86,335.0,325.0,321.86,95.0,90.0,316.29
2023-08-19,328.33,368.33,322.32,320.0,316.67,322.32,95.0,90.0,316.43
2023-08-20,321.67,371.67,322.79,305.0,308.33,322.79,95.0,90.0,316.58
2023-08-21,315.0,375.0,323.25,290.0,300.0,323.25,95.0,90.0,316.73
2023-08-22,310.0,330.0,323.94,290.0,285.0,323.94,95.0,95.0,317.0
2023-08-23,335.0,375.0,323.94,315.0,350.0,323.94,85.0,105.0,317.47
2023-08-24,315.0,360.0,323.97,310.0,325.0,323.97,95.0,95.0,317.48
2023-08-25,310.0,340.0,324.05,290.0,285.0,324.05,95.0,95.0,317.8
2023-08-26,303.33,321.67,323.99,285.0,276.67,323.99,91.67,95.83,317.86
2023-08-27,296.67,303.33,323.93,280.0,268.33,323.93,88.33,96.67,317.91
2023-08-28,290.0,285.0,323.87,275.0,260.0,323.87,85.0,97.5,317.96
2023-08-29,265.0,305.0,323.91,255.0,215.0,323.91,85.0,92.5,317.83
2023-08-30,247.5,285.0,323.29,262.5,232.5,323.29,85.0,91.25,316.58
2023-08-31,230.0,265.0,322.66,270.0,250.0,322.66,85.0,90.0,315.34
2023-09-01,240.0,272.5,319.65,155.0,150.0,319.65,205.0,215.0,314.2
2023-09-02,250.0,280.0,319.52,110.0,105.0,319.52,200.0,201.67,314.11
2023-09-03,260.0,287.5,319.39,105.0,100.0,319.39,195.0,188.33,314.03
2023-09-04,270.0,295.0,319.26,122.5,115.0,319.26,190.0,175.0,313.94
2023-09-05,280.0,302.5,320.38,140.0,130.0,320.38,205.0,200.0,314.87
2023-09-06,290.0,310.0,322.0,310.0,275.0,322.0,255.0,255.0,315.93
2023-09-07,300.0,317.5,322.0,360.0,350.0,322.0,190.0,192.5,316.28
2023-09-08,310.0,325.0,322.39,410.0,425.0,322.39,125.0,130.0,316.31
2023-09-09,312.5,332.5,322.14,285.0,285.0,322.14,121.67,123.33,316.31
2023-09-10,315.0,340.0,321.9,160.0,145.0,321.9,118.33,116.67,316.3
2023-09-11,375.0,280.0,321.66,250.0,240.0,321.66,115.0,110.0,316.29
2023-09-12,355.0,322.5,322.28,202.5,217.5,322.28,90.0,90.0,316.54
2023-09-13,335.0,365.0,322.38,155.0,195.0,322.38,65.0,70.0,316.77
2023-09-14,325.0,360.0,323.38,155.0,195.0,323.38,65.0,70.0,318.09
2023-09-15,265.0,330.0,323.37,155.0,210.0,323.37,55.0,90.0,317.54
2023-09-16,290.0,323.33,323.37,155.0,190.0,323.37,58.33,81.67,317.56
2023-09-17,315.0,316.67,323.37,155.0,170.0,323.37,61.67,73.33,317.58
2023-09-18,340.0,310.0,323.38,155.0,150.0,323.38,65.0,65.0,317.6
